iter	RMSE
431	30375.03641
432	30372.99046
433	30371.60736
434	30371.0589
435	30370.27123
436	30369.7429
437	30368.61038
438	30367.01515
439	30366.29179
440	30365.1344
441	30364.40176
442	30363.00023
443	30361.75698
444	30361.25647
445	30360.45813
446	30359.71484
447	30358.15016
448	30357.69014
449	30355.56355
450	30354.14327
451	30351.8657
452	30350.54588
453	30349.32908
454	30348.29588
455	30347.60665
456	30346.26922
457	30345.36273
458	30344.16434
459	30344.05633
460	30343.28561
461	30342.38034
462	30340.96421
463	30340.24256
464	30339.45193
465	30338.78935
466	30338.61218
467	30338.12312
468	30336.87559
469	30335.43623
470	30334.96436
471	30333.86651
472	30332.31771
473	30331.41976
474	30330.69169
475	30329.988
476	30329.88044
477	30329.50166
478	30328.38477
479	30327.87821
480	30326.64005
481	30325.64479
482	30325.16742
483	30324.24723
484	30323.05882
485	30321.78635
486	30321.06022
487	30320.81633
488	30319.20261
489	30318.0989
490	30317.31636
491	30317.02019
492	30315.81638
493	30315.162
494	30314.19116
495	30314.09149
496	30313.24697
497	30312.73466
498	30312.20552
499	30311.24179
500	30309.93642
501	30309.41885
502	30308.57203
503	30307.27733
504	30306.65992
505	30305.49559
506	30304.84409
507	30303.61149
508	30302.59429
509	30301.47924
510	30300.41237
511	30299.89497
512	30299.53557
513	30299.20423
514	30298.54178
515	30297.62901
516	30296.31735
517	30295.51565
518	30295.06098
519	30294.58672
520	30293.54086
521	30292.56684
522	30291.70419
523	30290.58702
524	30289.62837
525	30288.88544
526	30288.35574
527	30287.6445
528	30286.75854
529	30285.50242
530	30284.76177
531	30283.35606
532	30282.3861
533	30281.42399
534	30280.76838
535	30280.61279
536	30279.41762
537	30278.15605
538	30276.91727
539	30275.99656
540	30275.01897
541	30273.71917
542	30272.68036
543	30271.60401
544	30271.25132
545	30270.18861
546	30269.60291
547	30268.89002
548	30268.48187
549	30267.68248
550	30266.76005
551	30265.21958
552	30264.55785
553	30264.19393
554	30263.90985
555	30263.00169
556	30262.21689
557	30261.21025
558	30260.02763
559	30259.26263
560	30258.23374
561	30257.81357
562	30257.01656
563	30256.50567
564	30255.88708
565	30255.72237
566	30254.46582
567	30253.28506
568	30252.83741
569	30251.96863
570	30251.11116
571	30250.33958
572	30248.23631
573	30246.8282
574	30246.30408
575	30245.71845
576	30244.45856
577	30243.48613
578	30242.39751
579	30241.80697
580	30240.84801
581	30240.18871
582	30239.51871
583	30238.3766
584	30237.2245
